Judul Artikel,Penulis,Tahun Publikasi
ANALISA PRODUKTIVITAS TENAGA KERJA PADA PEMASANGAN TIANG LAMPU LED PROYEK PEMBANGUNAN RATONA SIRKUIT MOTOR SPORT PALOPO,ANALISA PRODUKTIVITAS TENAGA KERJA PADA PEMASANGAN TIANG LAMPU LED PROYEK PEMBANGUNAN RATONA SIRKUIT MOTOR SPORT PALOPO,20222
ANALISIS PERBANDINGAN METODE BORNHUETTER DAN BENKTANDER HOVINEN PADA ESTIMASI KEMUNCULAN KLAIM PERUSAHAAN ASURANSI KOTA PALOPO,ANALISIS PERBANDINGAN METODE BORNHUETTER DAN BENKTANDER HOVINEN PADA ESTIMASI KEMUNCULAN KLAIM PERUSAHAAN ASURANSI KOTA PALOPO,20222
STUDI DROP TEGANGAN SISTEM DISTRIBUSI PADA PENYULANG GHSM DI PT PLN  (PERSERO) RAYON SUNGGUMINASA,STUDI DROP TEGANGAN SISTEM DISTRIBUSI PADA PENYULANG GHSM DI PT PLN  (PERSERO) RAYON SUNGGUMINASA,20222
PENGEMBANGAN SISTEM KOMUNIKASI LAUT DENGAN WIRELESS SENSOR NETWORK AKUSTIK UNTUK MENDETEKSI OBJEK-OBJEK DI PERMUKAAN LAUT,PENGEMBANGAN SISTEM KOMUNIKASI LAUT DENGAN WIRELESS SENSOR NETWORK AKUSTIK UNTUK MENDETEKSI OBJEK-OBJEK DI PERMUKAAN LAUT,20222
ETNOBOTANI: NILAI EKONOMI PEMANFAATAN PISANG (MUSA SP) BERBASIS KEARIFAN LOKAL PADA MASYRAKAT DESA PUUNDOHO KECAMATAN PAKUE UTARA,ETNOBOTANI: NILAI EKONOMI PEMANFAATAN PISANG (MUSA SP) BERBASIS KEARIFAN LOKAL PADA MASYRAKAT DESA PUUNDOHO KECAMATAN PAKUE UTARA,20222
PENGARUH GERAKAN STRETCHING TERHADAP KELUHAN MSDS PADA PETANI RUMPUT LAUT DI KELURAHAN TAKKALALA KOTA PALOPO,PENGARUH GERAKAN STRETCHING TERHADAP KELUHAN MSDS PADA PETANI RUMPUT LAUT DI KELURAHAN TAKKALALA KOTA PALOPO,20222
PERANCANGAN TEACHING AIDS BASIC TRANSISTOR UNTUK LABORATORIUM ATIDP,PERANCANGAN TEACHING AIDS BASIC TRANSISTOR UNTUK LABORATORIUM ATIDP,20222
THE IMPACT OF HIGER EDUCATION-INDUSTRY (UI) COLLABORATION ON INNOVATION EFFICIENCY,THE IMPACT OF HIGER EDUCATION-INDUSTRY (UI) COLLABORATION ON INNOVATION EFFICIENCY,20222
PENINGKATAN PEMAHAMAN KURIKULUM MERDEKA PADA,PENINGKATAN PEMAHAMAN KURIKULUM MERDEKA PADA,20222
KOMITE PEMBELAJARAN SEKOLAH PENGGERAK MELALUI PELATIHAN DENGAN METODE MERRDEKA,KOMITE PEMBELAJARAN SEKOLAH PENGGERAK MELALUI PELATIHAN DENGAN METODE MERRDEKA,20222
IMPLEMENTASI MEDIA PEMBELAJARAN INTERAKTIF MATA KULIAH PERALATAN TEKNIK,IMPLEMENTASI MEDIA PEMBELAJARAN INTERAKTIF MATA KULIAH PERALATAN TEKNIK,20222
SOSIALISASI PENINGKATAN PENERAPAN KESEHATAN DAN KESELAMATAN KERJA (K3) KONSTRUKSI PADA PROYEK PEMBANGUNAN MASJID AL-HIDAYAH SALOLO KOTA PALOPO,SOSIALISASI PENINGKATAN PENERAPAN KESEHATAN DAN KESELAMATAN KERJA (K3) KONSTRUKSI PADA PROYEK PEMBANGUNAN MASJID AL-HIDAYAH SALOLO KOTA PALOPO,20222
SOSIALISASI ALAT MONITORING KEHADIRAN WARGA JEMAAT DALAM IBADAH HARI MINGGU DI GEREJA TORAJA JEMAAT TAMATIKU,SOSIALISASI ALAT MONITORING KEHADIRAN WARGA JEMAAT DALAM IBADAH HARI MINGGU DI GEREJA TORAJA JEMAAT TAMATIKU,20222
PELATIHAN PENULISAN DAN PUBLIKASI KARYA ILMIAH BAGI GURU SMA NEG. 1 PAKUE KOLAKA UTARA,PELATIHAN PENULISAN DAN PUBLIKASI KARYA ILMIAH BAGI GURU SMA NEG. 1 PAKUE KOLAKA UTARA,20222
PERANCANGAN PLTMH TURBIN ASCHIMEDES SCREW PADA KAWASAN PEDESAAN TERPENCIL DUSUN CINDAKKO DESA BONTO SOMBA KEC. TOMPOBULU KAB. MAROS,PERANCANGAN PLTMH TURBIN ASCHIMEDES SCREW PADA KAWASAN PEDESAAN TERPENCIL DUSUN CINDAKKO DESA BONTO SOMBA KEC. TOMPOBULU KAB. MAROS,20222
PELATIHAN PEMROGRAMAN CNC UNTUK MENINGKATKAN KOMPETENSI GURU SMK,PELATIHAN PEMROGRAMAN CNC UNTUK MENINGKATKAN KOMPETENSI GURU SMK,20222
PENDAMPINGAN PEMBELAJARAN BERDEFERENSIASI PADA KELOMPOK BELAJAR SEKOLAH PENGGERAK KOTA PALOPO,PENDAMPINGAN PEMBELAJARAN BERDEFERENSIASI PADA KELOMPOK BELAJAR SEKOLAH PENGGERAK KOTA PALOPO,20222
THE CORRELATION BETWEEN CIVIL ENGINEERING STUDENT LEARNING MOTIVATION AND VOCABULARY MASTERY AT POLITEKNIK DEAWANTARA PALOPO,THE CORRELATION BETWEEN CIVIL ENGINEERING STUDENT LEARNING MOTIVATION AND VOCABULARY MASTERY AT POLITEKNIK DEAWANTARA PALOPO,20221
PERANCANGAN AUGMENTED REALITY 3D SEBAGAI MEDIA PEMBELAJARAN BAHASA ISYARAT,PERANCANGAN AUGMENTED REALITY 3D SEBAGAI MEDIA PEMBELAJARAN BAHASA ISYARAT,20221
"PENGARUH MODEL PEMBELAJARAN KOOPERATIF TIPE SOMATIC, AUDITORY, VISUALIZATION, INTELECTUAL (SAVI) TERHADAP MINAT UNTUK PENINGKATAN HASIL BELAJAR MATEMATIKA","PENGARUH MODEL PEMBELAJARAN KOOPERATIF TIPE SOMATIC, AUDITORY, VISUALIZATION, INTELECTUAL (SAVI) TERHADAP MINAT UNTUK PENINGKATAN HASIL BELAJAR MATEMATIKA",20221
PENERAPAN PENGGUNAAN ALAT PELINDUNG DIRI PADA PEKERJAAN SURVEY LOKASI,PENERAPAN PENGGUNAAN ALAT PELINDUNG DIRI PADA PEKERJAAN SURVEY LOKASI,20221
STUDI GANGGUAN SISTEM DISTRIBUSI SALURAN UDARA TEGANGAN MENENGAH (SUTM) PENYULANG RINDAM DI PT PLN PERSERO RAYON SUNGGUMINASA,STUDI GANGGUAN SISTEM DISTRIBUSI SALURAN UDARA TEGANGAN MENENGAH (SUTM) PENYULANG RINDAM DI PT PLN PERSERO RAYON SUNGGUMINASA,20221
TRANSAKSI DATA SECURITY MENGGUNAKAN DES ALGORITHM DALAM KRIPTOGRAFI,TRANSAKSI DATA SECURITY MENGGUNAKAN DES ALGORITHM DALAM KRIPTOGRAFI,20221
